"","Children","Age","Income","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Port_modem","Tablet","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","Churn","MonthlyCharge","Bandwidth_GB_Year","Timely_Response","Timely_Fixes","Timely_Replacements","Reliability","Options","Respectful_Response","Courteous_Exchange","Active_Listening","Area_Suburban","Area_Urban","Contract_OneYear","Contract_TwoYear","Gender_Male","Gender_Nonbinary","InternetService_FiberOptic","InternetService_None"
"1",0,68,28561.99,7.978322947,10,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,172.455519,904.5361102,5,5,5,3,4,4,3,4,0,1,1,0,1,0,1,0
"2",1,48,18925.23,14.91353964,15,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,119.95684,2164.579412,4,4,4,2,5,4,3,3,1,0,0,1,1,0,0,0
"3",0,83,40074.19,8.147416533,16,2,1,0,1,0,0,0,0,0,0,1,1,0,0,1,149.948316,271.4934362,4,4,4,3,4,4,4,5,1,0,0,0,1,0,1,0
"4",3,83,22660.2,8.420992898,15,3,1,0,1,0,1,1,1,1,1,0,0,1,0,0,185.007692,1039.357983,3,3,3,2,4,3,3,3,0,1,1,0,0,0,0,1
"5",2,56,18342.12,6.68082638,17,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,149.962093,1180.588788,4,4,3,4,4,4,3,4,0,0,0,0,0,0,1,0
"6",2,60,44142.81,9.831166695,16,3,0,0,0,0,1,0,1,0,1,1,1,1,0,1,202.682861,882.0985933,2,2,4,3,3,4,3,3,0,0,0,1,1,0,0,1
"7",3,30,45714.47,6.984819996,18,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,127.495766,594.1054279,5,5,4,4,3,4,3,5,1,0,0,1,1,0,1,0
"8",3,52,27442.03,9.372975594,16,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,124.964303,713.0633088,3,3,3,2,2,3,5,5,0,1,0,0,1,0,1,0
"9",2,68,79699.62,7.109002592,9,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,149.948316,945.3802928,4,4,3,5,3,4,4,3,0,1,1,0,1,0,1,0
"10",3,75,28520.32,13.74777955,15,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,162.511928,870.76398,3,3,4,2,4,4,3,4,0,0,0,0,0,0,0,1
"11",0,70,43882.72,14.73616645,12,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,139.981577,419.0508708,2,2,3,4,4,2,2,2,0,1,0,0,0,0,0,1
"12",4,69,33442.79,10.61771118,18,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,257.651257,1745.125956,4,4,4,3,2,5,5,4,1,0,0,1,1,0,0,0
"13",4,69,11211.59,5.540788887,15,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,267.664655,1081.814362,6,5,5,5,2,6,5,5,0,1,1,0,1,0,1,0
"14",1,52,8283.29,13.80362698,11,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,162.483267,1209.961168,4,2,3,4,3,3,4,3,1,0,0,0,1,0,0,0
