"","Children","Age","Income","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Port_modem","Tablet","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","Tenure","MonthlyCharge","Bandwidth_GB_Year","Timely_Response","Timely_Fixes","Timely_Replacements","Reliability","Options","Respectful_Response","Courteous_Exchange","Active_Listening","Area_Rural","Area_Suburban","Area_Urban","Contract_Month_To_Month","Contract_OneYear","Contract_TwoYear","Gender_Female","Gender_Male","Gender_Nonbinary","InternetService_DSL","InternetService_FiberOptic","InternetService_None"
"1",4,50,9609.57,10.75280028,9,0,1,1,1,0,1,1,0,0,0,0,0,1,1,15.75414408,159.947583,2054.706961,4,4,2,4,4,3,3,3,0,0,1,0,0,1,1,0,0,1,0,0
"2",2,30,26759.64,7.791632265,16,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4.26425515,114.950905,979.6127078,2,2,2,5,2,3,4,5,0,1,0,1,0,0,1,0,0,1,0,0
"3",1,86,50231.4,8.707823904,18,1,0,0,1,0,1,0,1,0,1,0,0,1,1,3.422086139,162.482694,508.7637913,2,2,2,2,5,2,3,3,1,0,0,0,0,1,1,0,0,0,1,0
"4",7,23,22580.7,9.341631685,9,0,2,0,0,0,1,1,1,1,0,0,1,0,0,19.26726194,174.958118,2728.767869,4,4,4,7,3,3,3,4,0,0,1,1,0,0,1,0,0,1,0,0
"5",2,56,18342.12,6.68082638,17,1,1,0,1,0,1,0,0,0,1,0,1,0,0,10.52199781,149.962093,1180.588788,4,4,3,4,4,4,3,4,1,0,0,1,0,0,1,0,0,0,1,0
"6",4,38,39624.21,12.06889188,14,0,3,0,0,0,1,0,1,1,1,0,0,1,1,20.45390977,184.978458,2330.319383,2,3,3,2,4,2,3,3,1,0,0,1,0,0,0,1,0,0,1,0
"7",3,75,28520.32,13.74777955,15,1,0,0,0,1,1,1,1,0,1,0,0,1,0,5.770390256,162.511928,870.76398,3,3,4,2,4,4,3,4,1,0,0,1,0,0,1,0,0,0,0,1
"8",1,47,8762.23,15.8626095,15,0,1,0,1,0,1,0,1,0,1,0,1,1,0,10.40566091,222.649979,1506.446527,5,3,5,3,3,5,4,4,1,0,0,1,0,0,1,0,0,0,1,0
"9",0,70,43882.72,14.73616645,12,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1.392421597,139.981577,419.0508708,2,2,3,4,4,2,2,2,0,0,1,1,0,0,1,0,0,0,0,1
"10",6,82,51960.51,8.774646693,9,0,0,0,1,1,1,0,0,1,0,0,1,1,1,4.727388465,230.105118,1013.993166,4,4,4,5,2,5,3,5,1,0,0,1,0,0,1,0,0,0,1,0
