"","Children","Age","Income","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Port_modem","Tablet","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","Churn","MonthlyCharge","Bandwidth_GB_Year","Timely_Response","Timely_Fixes","Timely_Replacements","Reliability","Options","Respectful_Response","Courteous_Exchange","Active_Listening","Area_Suburban","Area_Urban","Contract_OneYear","Contract_TwoYear","Gender_Male","Gender_Nonbinary","InternetService_FiberOptic","InternetService_None"
"1",1,27,21704.77,11.69907956,12,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,242.632554,800.9827661,3,4,3,3,4,3,4,4,0,1,0,0,0,0,1,0
"2",4,50,9609.57,10.75280028,9,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,159.947583,2054.706961,4,4,2,4,4,3,3,3,0,1,0,1,0,0,0,0
"3",0,79,11467.5,11.18272453,10,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,200.118516,1907.242972,6,5,6,4,1,5,5,5,1,0,0,0,1,0,0,0
"4",2,30,26759.64,7.791632265,16,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,114.950905,979.6127078,2,2,2,5,2,3,4,5,1,0,0,0,0,0,0,0
"5",2,49,58634.51,5.739005915,20,2,3,0,1,0,1,0,1,1,0,0,0,0,1,0,117.468591,1312.874964,5,4,4,3,4,3,4,4,1,0,0,0,0,1,0,0
"6",1,86,50231.4,8.707823904,18,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,162.482694,508.7637913,2,2,2,2,5,2,3,3,0,0,0,1,0,0,1,0
"7",7,23,22580.7,9.341631685,9,0,2,0,0,0,1,1,1,1,0,0,1,0,0,0,174.958118,2728.767869,4,4,4,7,3,3,3,4,0,1,0,0,0,0,0,0
"8",0,83,83671.08,8.273875452,9,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,137.439154,1196.388018,1,2,1,4,3,2,3,3,0,0,0,0,1,0,1,0
"9",5,29,115114.57,5.880565591,14,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,184.971516,1948.694497,5,6,5,2,4,5,4,4,0,1,0,1,0,0,1,0
"10",1,30,64256.81,11.79073041,10,3,0,0,0,0,0,1,0,1,0,1,0,0,1,1,159.965581,1582.295235,3,3,4,2,3,4,4,2,0,1,0,0,1,0,0,0
"11",3,39,89061.45,10.79846973,13,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,177.65076,1840.014467,3,3,3,2,4,3,5,2,1,0,1,0,1,0,0,1
"12",0,63,31659.3,13.52284721,13,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,194.966286,2070.376729,3,4,4,3,5,4,4,3,0,1,0,0,0,0,0,0
"13",3,61,39262.14,9.57470568,11,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,152.490739,1833.0967,3,4,3,4,3,2,3,5,0,0,0,1,0,0,0,1
"14",3,23,19494.75,10.92246098,10,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,149.944668,1954.080809,5,5,5,4,4,4,3,3,0,0,0,0,1,0,0,0
"15",4,38,39624.21,12.06889188,14,0,3,0,0,0,1,0,1,1,1,0,0,1,1,0,184.978458,2330.319383,2,3,3,2,4,2,3,3,0,0,0,0,1,0,1,0
"16",1,77,12558.83,9.767668044,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,92.455141,774.2937069,4,4,4,4,2,4,5,5,1,0,0,0,1,0,0,0
