"","Children","Age","Income","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Port_modem","Tablet","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","Tenure","MonthlyCharge","Bandwidth_GB_Year","Timely_Response","Timely_Fixes","Timely_Replacements","Reliability","Options","Respectful_Response","Courteous_Exchange","Active_Listening","Area_Rural","Area_Suburban","Area_Urban","Contract_Month_To_Month","Contract_OneYear","Contract_TwoYear","Gender_Female","Gender_Male","Gender_Nonbinary","InternetService_DSL","InternetService_FiberOptic","InternetService_None"
"1",0,68,28561.99,7.978322947,10,0,1,0,1,1,1,0,1,1,0,0,0,1,1,6.795512947,172.455519,904.5361102,5,5,5,3,4,4,3,4,0,0,1,0,1,0,0,1,0,0,1,0
"2",1,27,21704.77,11.69907956,12,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1.156680997,242.632554,800.9827661,3,4,3,3,4,3,4,4,0,0,1,1,0,0,1,0,0,0,1,0
"3",1,48,18925.23,14.91353964,15,2,0,1,0,0,1,0,1,0,0,0,1,0,1,17.08722662,119.95684,2164.579412,4,4,4,2,5,4,3,3,0,1,0,0,0,1,0,1,0,1,0,0
"4",0,83,40074.19,8.147416533,16,2,1,0,1,0,0,0,0,0,0,1,1,0,0,1.670971726,149.948316,271.4934362,4,4,4,3,4,4,4,5,0,1,0,1,0,0,0,1,0,0,1,0
"5",3,83,22660.2,8.420992898,15,3,1,0,1,0,1,1,1,1,1,0,0,1,0,7.000993555,185.007692,1039.357983,3,3,3,2,4,3,3,3,0,0,1,0,1,0,1,0,0,0,0,1
"6",0,79,11467.5,11.18272453,10,0,1,1,0,0,1,0,0,0,0,1,1,1,0,13.23677381,200.118516,1907.242972,6,5,6,4,1,5,5,5,0,1,0,1,0,0,0,1,0,1,0,0
"7",2,49,58634.51,5.739005915,20,2,3,0,1,0,1,0,1,1,0,0,0,0,1,8.220686373,117.468591,1312.874964,5,4,4,3,4,3,4,4,0,1,0,1,0,0,0,0,1,1,0,0
"8",0,83,83671.08,8.273875452,9,0,0,0,1,0,1,0,0,0,0,0,1,0,0,13.01149229,137.439154,1196.388018,1,2,1,4,3,2,3,3,1,0,0,1,0,0,0,1,0,0,1,0
"9",5,29,115114.57,5.880565591,14,1,0,0,1,1,1,1,1,0,0,1,1,0,1,16.87922024,184.971516,1948.694497,5,6,5,2,4,5,4,4,0,0,1,0,0,1,1,0,0,0,1,0
"10",1,30,64256.81,11.79073041,10,3,0,0,0,0,0,1,0,1,0,1,0,0,1,10.06019902,159.965581,1582.295235,3,3,4,2,3,4,4,2,0,0,1,1,0,0,0,1,0,1,0,0
"11",3,39,89061.45,10.79846973,13,1,0,0,0,0,1,0,1,0,0,0,1,1,1,13.87001293,177.65076,1840.014467,3,3,3,2,4,3,5,2,0,1,0,0,1,0,0,1,0,0,0,1
"12",0,63,31659.3,13.52284721,13,1,0,0,1,0,1,1,0,1,1,0,0,1,1,15.78214958,194.966286,2070.376729,3,4,4,3,5,4,4,3,0,0,1,1,0,0,1,0,0,1,0,0
"13",2,60,44142.81,9.831166695,16,3,0,0,0,0,1,0,1,0,1,1,1,1,0,2.303331273,202.682861,882.0985933,2,2,4,3,3,4,3,3,1,0,0,0,0,1,0,1,0,0,0,1
"14",3,61,39262.14,9.57470568,11,1,0,1,1,0,1,0,0,1,1,1,1,0,1,17.10995632,152.490739,1833.0967,3,4,3,4,3,2,3,5,1,0,0,0,0,1,1,0,0,0,0,1
"15",3,23,19494.75,10.92246098,10,1,0,0,1,0,1,1,0,0,0,0,1,0,1,12.80615845,149.944668,1954.080809,5,5,5,4,4,4,3,3,1,0,0,1,0,0,0,1,0,1,0,0
"16",3,30,45714.47,6.984819996,18,1,0,0,0,1,1,0,1,0,1,0,0,0,0,2.415991977,127.495766,594.1054279,5,5,4,4,3,4,3,5,0,1,0,0,0,1,0,1,0,0,1,0
"17",3,52,27442.03,9.372975594,16,1,1,0,0,0,1,0,0,0,0,1,0,0,1,6.652298992,124.964303,713.0633088,3,3,3,2,2,3,5,5,0,0,1,1,0,0,0,1,0,0,1,0
"18",2,68,79699.62,7.109002592,9,0,0,0,1,0,1,0,0,0,0,1,1,0,1,8.543717478,149.948316,945.3802928,4,4,3,5,3,4,4,3,0,0,1,0,1,0,0,1,0,0,1,0
"19",1,77,12558.83,9.767668044,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4.157658837,92.455141,774.2937069,4,4,4,4,2,4,5,5,0,1,0,1,0,0,0,1,0,1,0,0
"20",3,20,10482.52,13.43558029,13,2,0,1,0,0,1,0,0,0,1,0,1,1,0,1.430386349,200.132293,1259.415493,3,4,3,3,2,4,4,2,0,0,1,0,1,0,1,0,0,1,0,0
"21",4,69,33442.79,10.61771118,18,1,0,0,0,1,1,1,1,1,1,0,1,1,1,5.425864884,257.651257,1745.125956,4,4,4,3,2,5,5,4,0,1,0,0,0,1,0,1,0,1,0,0
"22",9,45,43383.54,6.613070806,14,0,0,0,1,0,0,0,0,1,0,0,1,1,1,11.08287797,230.105118,1795.465729,3,2,1,5,3,3,3,2,0,0,1,0,0,1,0,1,0,0,1,0
"23",0,40,21793.88,4.450171647,13,2,0,0,0,1,1,1,0,1,0,1,0,0,0,3.586184954,147.489301,492.4771472,2,3,4,3,3,2,4,3,1,0,0,0,0,1,1,0,0,0,0,1
"24",5,74,25942.1,11.13156721,8,1,1,0,0,0,1,1,1,1,0,0,1,0,0,20.89923386,174.958118,2680.762173,5,5,4,3,5,3,4,1,1,0,0,1,0,0,0,1,0,1,0,0
"25",4,69,11211.59,5.540788887,15,1,0,0,1,0,1,1,1,0,1,1,1,1,0,3.471329958,267.664655,1081.814362,6,5,5,5,2,6,5,5,0,0,1,0,1,0,0,1,0,0,1,0
"26",1,52,8283.29,13.80362698,11,0,1,0,1,0,1,1,1,1,0,1,0,0,1,5.478588204,162.483267,1209.961168,4,2,3,4,3,3,4,3,0,1,0,1,0,0,0,1,0,1,0,0
