"","x"
"1",1.156680997
"2",15.75414408
"3",13.23677381
"4",4.26425515
"5",8.220686373
"6",3.422086139
"7",19.26726194
"8",13.01149229
"9",16.87922024
"10",10.06019902
"11",13.87001293
"12",15.78214958
"13",17.10995632
"14",12.80615845
"15",20.45390977
"16",4.157658837
"17",10.40566091
"18",1.430386349
"19",11.08287797
"20",3.586184954
"21",4.727388465
"22",20.89923386
"23",3.312991809
"24",7.161561527
"25",9.847563364
"26",16.04202196
"27",9.179779682
"28",3.002844144
"29",3.924254455
"30",18.55959629
"31",10.377366
"32",22.25746016
"33",9.427146079
"34",7.760290062
"35",11.56938439
"36",7.338869531
"37",1.55278221
"38",13.98666226
"39",6.732948946
"40",15.72071086
"41",7.233605493
"42",2.871017037
"43",7.960490246
"44",9.634946079
"45",7.916533093
"46",4.471254161
"47",10.79028074
"48",12.24190682
"49",2.203859443
"50",3.7311787
"51",9.190009376
"52",5.43464555
"53",1.092361222
"54",24.64873861
"55",9.677739656
"56",9.82814183
"57",7.832238337
"58",14.34766616
"59",2.257358355
"60",2.358129018
"61",4.650578623
"62",4.151256695
"63",2.188918771
"64",13.85488928
"65",3.273341151
"66",19.75096265
"67",18.38404445
"68",4.672610857
"69",12.97632235
"70",20.31163945
"71",6.998814446
"72",14.46288204
"73",2.542296644
"74",17.22596021
"75",22.79214163
"76",3.823689744
"77",10.77094687
"78",13.08671185
"79",14.76468813
"80",9.473091121
"81",6.577552683
"82",3.174571918
"83",17.88002366
"84",23.34617699
"85",12.58298231
"86",7.120096363
"87",9.344886869
"88",22.37815032
"89",4.799514433
"90",10.04672315
"91",7.992791229
"92",4.627672042
"93",10.05306287
"94",4.171044392
"95",6.085030507
"96",2.730250735
"97",8.574901206
"98",9.482919033
"99",8.447988841
"100",6.365998533
"101",2.887429547
"102",3.237560234
"103",2.733109234
"104",15.85983755
"105",3.260462654
"106",18.91276578
"107",14.25617986
"108",7.983887266
"109",5.969967132
"110",14.85781115
"111",2.600063739
"112",5.972864167
"113",10.87555535
"114",12.63074989
"115",8.4944392
"116",8.044444101
"117",12.07358377
"118",15.50354683
"119",13.88004531
"120",19.48900163
"121",10.01771765
"122",12.64742067
"123",8.850426839
"124",3.701557118
"125",2.976033785
"126",5.522376826
"127",23.00764441
"128",17.24924155
"129",3.521499924
"130",1.875430489
"131",5.587484456
"132",2.964559883
"133",10.25635754
"134",5.874064017
"135",3.756359276
"136",2.905283283
"137",1.474810061
"138",18.56165869
"139",12.39088509
"140",14.17192333
"141",5.827112819
"142",11.96274778
"143",4.525864256
"144",8.038308899
"145",1.416592892
"146",19.83504645
"147",15.85002222
"148",11.94550648
